Time [s],Value,Parity Error,Framing Error
276.771605000000022,0x01,,
276.771864999999991,0x06,,
276.772125000000017,0x00,,
276.772385999999983,0x02,,
276.772646000000009,0x00,,
276.772905999999978,0x04,,
276.773166000000003,0x29,,
276.773427000000027,0xC9,,
278.745608000000004,0x01,,
278.745867999999973,0x06,,
278.746128999999996,0x00,,
278.746390000000019,0x02,,
278.746649999999988,0x00,,
278.746911000000011,0x04,,
278.747170999999980,0x29,,
278.747432000000003,0xC9,,
280.717614000000026,0x01,,
280.717873999999995,0x06,,
280.718135000000018,0x00,,
280.718394999999987,0x02,,
280.718656000000010,0x00,,
280.718915999999979,0x04,,
280.719177000000002,0x29,,
280.719437000000028,0xC9,,
282.690656999999987,0x01,,
282.690918000000011,0x06,,
282.691178999999977,0x00,,
282.691440000000000,0x04,,
282.691700000000026,0x00,,
282.691959999999995,0x00,,
282.692220000000020,0xC8,,
282.692480999999987,0x0B,,
284.665647999999976,0x01,,
284.665908000000002,0x06,,
284.666169000000025,0x00,,
284.666428999999994,0x04,,
284.666689000000019,0x00,,
284.666948999999988,0x00,,
284.667210000000011,0xC8,,
284.667469999999980,0x0B,,
286.641682000000003,0x01,,
286.641941999999972,0x06,,
286.642201999999997,0x00,,
286.642462000000023,0x04,,
286.642722999999989,0x00,,
286.642983000000015,0x00,,
286.643242999999984,0xC8,,
286.643503000000010,0x0B,,
288.617667999999981,0x01,,
288.617928000000006,0x03,,
288.618188999999973,0x01,,
288.618448999999998,0x08,,
288.618709000000024,0x00,,
288.618969999999990,0x01,,
288.619230000000016,0x04,,
288.619490999999982,0x34,,
290.593712999999980,0x01,,
290.593974000000003,0x03,,
290.594233999999972,0x01,,
290.594494999999995,0x08,,
290.594755000000021,0x00,,
290.595015999999987,0x01,,
290.595276000000013,0x04,,
290.595535999999981,0x34,,
292.569700000000012,0x01,,
292.569959999999980,0x03,,
292.570221000000004,0x01,,
292.570480999999972,0x08,,
292.570741999999996,0x00,,
292.571002000000021,0x01,,
292.571261999999990,0x04,,
292.571523000000013,0x34,,
294.544699999999978,0x01,,
294.544959000000006,0x06,,
294.545218999999975,0x00,,
294.545479000000000,0x02,,
294.545739000000026,0x00,,
294.545998999999995,0x01,,
294.546259000000020,0xE9,,
294.546518999999989,0xCA,,
296.517709000000025,0x01,,
296.517969999999991,0x06,,
296.518231000000014,0x00,,
296.518490999999983,0x02,,
296.518752000000006,0x00,,
296.519011999999975,0x01,,
296.519272000000001,0xE9,,
296.519533000000024,0xCA,,
298.493736000000013,0x01,,
298.493996999999979,0x06,,
298.494257000000005,0x00,,
298.494516999999973,0x02,,
298.494777999999997,0x00,,
298.495038000000022,0x01,,
298.495297999999991,0xE9,,
298.495558000000017,0xCA,,
300.469727999999975,0x01,,
300.469988999999998,0x06,,
300.470249000000024,0x00,,
300.470508999999993,0x04,,
300.470770000000016,0x19,,
300.471029999999985,0x65,,
300.471290000000010,0x03,,
300.471549999999979,0xB0,,
302.444739000000027,0x01,,
302.444998999999996,0x06,,
302.445259000000021,0x00,,
302.445519999999988,0x04,,
302.445780000000013,0x00,,
302.446039999999982,0x00,,
302.446300000000008,0xC8,,
302.446559999999977,0x0B,,
304.420757999999978,0x01,,
304.421018000000004,0x06,,
304.421279000000027,0x00,,
304.421538999999996,0x04,,
304.421799000000021,0x00,,
304.422058999999990,0x00,,
304.422320000000013,0xC8,,
304.422579999999982,0x0B,,
306.395771000000025,0x01,,
306.396031999999991,0x03,,
306.396292000000017,0x01,,
306.396551999999986,0x08,,
306.396813000000009,0x00,,
306.397072999999978,0x01,,
306.397333000000003,0x04,,
306.397594000000026,0x34,,
308.368790999999987,0x01,,
308.369051000000013,0x03,,
308.369311999999979,0x01,,
308.369572000000005,0x08,,
308.369833000000028,0x00,,
308.370092999999997,0x01,,
308.370353000000023,0x04,,
308.370613999999989,0x34,,
310.344808000000000,0x01,,
310.345069000000024,0x03,,
310.345328999999992,0x01,,
310.345589000000018,0x08,,
310.345849999999984,0x00,,
310.346110000000010,0x01,,
310.346369999999979,0x04,,
310.346630000000005,0x34,,
312.320803000000012,0x01,,
312.321063999999978,0x06,,
312.321325000000002,0x00,,
312.321585000000027,0x02,,
312.321845999999994,0x00,,
312.322106000000019,0x02,,
312.322365999999988,0xA9,,
312.322626000000014,0xCB,,
314.296804000000009,0x01,,
314.297064999999975,0x06,,
314.297325000000001,0x00,,
314.297585000000026,0x02,,
314.297845999999993,0x00,,
314.298106000000018,0x02,,
314.298365999999987,0xA9,,
314.298626000000013,0xCB,,
316.272848000000010,0x01,,
316.273107999999979,0x06,,
316.273368000000005,0x00,,
316.273629000000028,0x02,,
316.273888999999997,0x00,,
316.274149000000023,0x02,,
316.274409999999989,0xA9,,
316.274670000000015,0xCB,,
318.247843999999986,0x01,,
318.248104000000012,0x06,,
318.248364999999978,0x00,,
318.248625000000004,0x04,,
318.248886000000027,0x15,,
318.249145999999996,0x7D,,
318.249406000000022,0x06,,
318.249666999999988,0xBA,,
320.223861999999997,0x01,,
320.224123000000020,0x06,,
320.224382999999989,0x00,,
320.224644000000012,0x04,,
320.224903999999981,0x15,,
320.225164000000007,0x7D,,
320.225423999999975,0x06,,
320.225684999999999,0xBA,,
322.199851000000024,0x01,,
322.200111999999990,0x06,,
322.200372000000016,0x00,,
322.200631999999985,0x04,,
322.200893000000008,0x00,,
322.201152999999977,0x00,,
322.201414000000000,0xC8,,
322.201675000000023,0x0B,,
324.175887999999986,0x01,,
324.176148000000012,0x03,,
324.176407999999981,0x01,,
324.176668000000006,0x08,,
324.176928999999973,0x00,,
324.177188999999998,0x01,,
324.177449000000024,0x04,,
324.177708999999993,0x34,,
326.150878999999975,0x01,,
326.151139999999998,0x03,,
326.151400000000024,0x01,,
326.151660999999990,0x08,,
326.151921000000016,0x00,,
326.152180999999985,0x01,,
326.152442000000008,0x04,,
326.152701999999977,0x34,,
328.123884999999973,0x01,,
328.124144999999999,0x03,,
328.124406000000022,0x01,,
328.124665999999991,0x08,,
328.124926000000016,0x00,,
328.125186999999983,0x01,,
328.125447000000008,0x04,,
328.125706999999977,0x34,,
